Date,EGYPT SMALL CAP
1996-05,199.86137277704938
1996-06,205.63677432459326
1996-07,229.3275515054623
1996-08,244.92507564536825
1996-09,282.7592921964654
1996-10,306.46329897872164
1996-11,349.65172457012716
1996-12,345.94797449282356
1997-01,475.86402700016026
1997-02,546.1943951885072
1997-03,510.9579484370425
1997-04,507.91723529261833
1997-05,460.9879166290286
1997-06,440.40801389884064
1997-07,430.609188065062
1997-08,447.68009589517897
1997-09,471.24001563311856
1997-10,458.94098565196776
1997-11,435.35690866695234
1997-12,423.24390473427775
1998-01,401.5674557691837
1998-02,399.7227681297767
1998-03,405.9558751995534
1998-04,408.212988956517
1998-05,379.9518050508181
1998-06,360.8843759964399
1998-07,351.08500453832534
1998-08,322.2357366165462
1998-09,330.81064634133264
1998-10,305.4048589679055
1998-11,301.29731540013023
1998-12,302.1844999615671
1999-01,360.1643606622438
1999-02,346.26763799692594
1999-03,337.65900000741726
1999-04,325.51591395231674
1999-05,308.43678382623347
1999-06,283.28395628390365
1999-07,282.5433466930018
1999-08,265.2468486178258
1999-09,265.09928759725386
1999-10,269.3529335998268
1999-11,270.43228118244036
1999-12,280.0996778863345
2000-01,303.8873641974112
2000-02,293.67890407797427
2000-03,283.5314628480791
2000-04,276.582323485417
2000-05,261.66819180211246
2000-06,248.30593717003907
2000-07,222.95922032646618
2000-08,212.44503921881642
2000-09,200.47797520804843
2000-10,187.52943986155998
2000-11,189.08459964202697
2000-12,184.91076321854098
2001-01,180.0269091288565
2001-02,170.49305886830345
2001-03,163.37626853884484
2001-04,158.66764856509386
2001-05,161.0802531079802
2001-06,160.34670204136887
2001-07,155.21797200859228
2001-08,150.58862799639653
2001-09,149.9207278129039
2001-10,144.3099784136158
2001-11,136.18680583905757
2001-12,126.4481722105835
2002-01,121.25638124925487
2002-02,127.36893266392418
2002-03,130.3063612797088
2002-04,125.36652668645986
2002-05,127.77797748938617
2002-06,123.17701338679974
2002-07,122.23094191931114
2002-08,118.69275782350422
2002-09,118.82537786711379
2002-10,111.39375276464158
2002-11,106.02633080380762
2002-12,113.21519773487631
2003-01,111.2381244460773
2003-02,101.44030352612688
2003-03,101.22178979315177
2003-04,105.50358366420112
2003-05,125.7646199148045
2003-06,128.85684641375371
2003-07,123.18919464251942
2003-08,137.54529018535143
2003-09,165.25743233246052
2003-10,177.21663824968002
2003-11,178.4537111156573
2003-12,175.27417416557498
2004-01,190.79545424951445
2004-02,188.33947357677783
2004-03,204.9918639260664
2004-04,214.41644008778255
2004-05,208.3703892813395
2004-06,205.35530455500313
2004-07,222.0038961990879
2004-08,225.08394566132736
2004-09,254.84925962104242
2004-10,272.94566879176875
2004-11,304.26110197211676
2004-12,318.35356525636513
2005-01,392.9534207508797
2005-02,423.454191673218
2005-03,411.50526365185783
2005-04,423.18168574967734
2005-05,401.49441530354625
2005-06,453.3618710087732
2005-07,471.8555309967856
2005-08,483.82550273029636
2005-09,601.0118548375101
2005-10,640.3879982191813
2005-11,665.3683308838812
2005-12,826.7691645004738
2006-01,1136.3715381892384
2006-02,991.648433298889
2006-03,886.7647686382146
2006-04,878.060237677737
2006-05,685.6611785489034
2006-06,618.8752044624468
2006-07,750.5191052042045
2006-08,824.6644585226131
2006-09,835.4779731615328
2006-10,863.0961723112009
2006-11,840.8469915031778
2006-12,897.4311913575325
2007-01,819.6668028667184
2007-02,887.9867655782027
2007-03,933.8355634558416
2007-04,937.5743024477938
2007-05,1000.0
2007-06,1050.0487510856058
2007-07,1077.86538613107
2007-08,1189.2281088225866
2007-09,1222.1998589223638
2007-10,1335.4824563243963
2007-11,1355.8388010067897
2007-12,1339.1769833903566
2008-01,1389.3172493798436
2008-02,1559.0829533566186
2008-03,1659.4583084688043
2008-04,1897.2350126283384
2008-05,1733.4453379091544
2008-06,1489.9766356805073
2008-07,1292.7398519497842
2008-08,1169.1329000221294
2008-09,1030.3124833662625
2008-10,670.785672414456
2008-11,674.6560700635647
2008-12,700.8467363282559
2009-01,646.1761203588077
2009-02,562.7295499694598
2009-03,687.2982782124933
2009-04,822.69026124
