Date,MSCI Greece Rebased Index
1998-12,100000.0
1999-01,114592.05814339753
1999-02,113110.53104818915
1999-03,109199.02959686628
1999-04,115136.92604956844
1999-05,120248.0803357965
1999-06,119638.23756245717
1999-07,129454.28437428297
1999-08,149682.90770102397
1999-09,159562.24865630266
1999-10,151218.3413521334
1999-11,153059.6937823667
1999-12,149841.78969333443
2000-01,133845.87382692957
2000-02,137190.21660241298
2000-03,129184.85702605915
2000-04,108380.38727087431
2000-05,120010.73471423275
2000-06,111233.17030279143
2000-07,106519.45236834892
2000-08,89537.42893115093
2000-09,102171.92342523648
2000-10,90117.92471155834
2000-11,78236.8773427191
2000-12,87394.09492121144
2001-01,83740.61505026263
2001-02,79499.09937217289
2001-03,75208.49412765243
2001-04,81952.3586899586
2001-05,72748.78122031293
2001-06,64048.72127260968
2001-07,64284.822209096026
2001-08,67997.10644429694
2001-09,54749.41277275925
2001-10,60306.62979129925
2001-11,63893.03158109784
2001-12,61520.40529638833
2002-01,59184.98391776031
2002-02,53185.204513838704
2002-03,52089.55223850661
2002-04,52297.6502598337
2002-05,56976.44340087377
2002-06,58225.61269157937
2002-07,53957.16648132247
2002-08,54187.46146467071
2002-09,46825.93428724422
2002-10,44926.15301488882
2002-11,46120.567624375464
2002-12,45980.08571740777
2003-01,45647.00837964826
2003-02,43426.64959073543
2003-03,39087.81379646151
2003-04,47315.49347589005
2003-05,50777.68999515808
2003-06,55919.628520222395
2003-07,63427.20556426365
2003-08,63663.833332156064
2003-09,62069.61456475095
2003-10,64994.587313496886
2003-11,69136.89352662518
2003-12,77978.95907873665
2004-01,82255.82621791442
2004-02,82772.54143350998
2004-03,80338.34924778658
2004-04,85188.35977169471
2004-05,84788.4369998883
2004-06,83391.96902533466
2004-07,80898.3976275006
2004-08,82027.52465177292
2004-09,85477.0924914217
2004-10,94429.73621002394
2004-11,104978.29578928846
2004-12,113894.22609225765
2005-01,113880.60041618522
2005-02,126632.97793090252
2005-03,112706.36076800061
2005-04,112081.77646284665
2005-05,112324.0438762917
2005-06,114995.83546348603
2005-07,122868.52037954092
2005-08,122947.58735933912
2005-09,125147.19347501964
2005-10,121457.09732631929
2005-11,124487.26397633385
2005-12,132231.13792674703
2006-01,146568.49472875934
2006-02,154589.17561332646
2006-03,151879.33275950723
2006-04,158114.53297428612
2006-05,147058.49543472723
2006-06,147652.92007594297
2006-07,149244.65196492875
2006-08,154212.58941244707
2006-09,155181.82061370372
2006-10,165250.35023065633
2006-11,174770.19334752232
2006-12,178576.04142359277
2007-01,189619.48042991082
2007-02,182624.1522705549
2007-03,188623.63700176077
2007-04,197171.8137496295
2007-05,205630.37572873145
2007-06,200993.6173858145
2007-07,205751.38602315076
2007-08,206055.95518264946
2007-09,223247.05151706215
2007-10,237130.6164632455
2007-11,230496.57292360123
2007-12,237340.9471805345
2008-01,204000.46999101623
2008-02,194954.32146967543
2008-03,199781.3413429031
2008-04,208876.43789646905
2008-05,209941.83548071043
2008-06,173929.41369164028
2008-07,175025.11969090253
2008-08,160538.8144955674
2008-09,136721.4872669917
2008-10,86540.40989225432
2008-11,78029.17282819394
2008-12,80693.34374564292
2009-01,74587.85407742334
2009-02,60433.07377037983
2009-03,70556.74201471375
2009-04,87954.08232485631
2009-05,104563.3378409276
2009-06,97972.73251083346
2009-07,107522.13822328333
2009-08,116602.24453497956
2009-09,130081.64059071425
2009-10,132481.03953009247
2009-11,111125.72279672702
2009-12,100906.7491487057
2010-01,90391.3831936803
2010-02,81559.75421947491
2010-03,87624.22398963173
2010-04,77577.85648587316
2010-05,57548.91075200727
2010-06,52151.9237503145
2010-07,68111.92265455083
2010-08,61753.377882736466
2010-09,61957.39888576131
2010-10,66987.29197223877
2010-11,56611.08793610555
2010-12,55644.648029063246
2011-01,65519.72112650444
2011-02,64674.39848119604
2011-03,64077.20268222873
2011-04,61204.17456810096
2011-05,54149.637138947575
2011-06,53516.70777611971
2011-07,49681.08332275353
2011-08,35830.90022290238
2011-09,28574.57242100546
2011-10,27385.993538997303
2011-11,21620.983077296405
2011-12,20714.93833120958
2012-01,25827.64458626136
2012-02,23760.376122758084
