Date,OMAN
2005-05,1075.56249
2005-06,1186.279991
2005-07,1135.020848
2005-08,1137.662489
2005-09,1103.543542
2005-10,1087.514882
2005-11,1000.0
2005-12,970.735725362486
2006-01,1002.1523081540062
2006-02,943.1079640387032
2006-03,926.3885557
2006-04,849.9663183450778
2006-05,829.6563960101684
2006-06,824.6075553493034
2006-07,799.7294147440595
2006-08,833.6425445054008
2006-09,880.7361230052803
2006-10,922.1091803869137
2006-11,875.1623745968567
2006-12,866.6509060060852
2007-01,874.4919626960674
2007-02,866.1035611064118
2007-03,841.8430045733434
2007-04,887.8114803508507
2007-05,963.720786378547
2007-06,973.7681612353983
2007-07,983.1639829462987
2007-08,1007.2786780828376
2007-09,1063.3278824404265
2007-10,1191.7027686150436
2007-11,1278.090213180322
2007-12,1382.4670555841751
2008-01,1415.7274640910414
2008-02,1560.0041935136096
2008-03,1546.2952963740195
2008-04,1697.9565366110007
2008-05,1765.724690036704
2008-06,1713.3104811945254
2008-07,1599.1135575552905
2008-08,1430.1091513620831
2008-09,1225.2615430395426
2008-10,859.3973515219379
2008-11,860.0788154612405
2008-12,757.651414739052
2009-01,685.7490991674808
2009-02,663.1793986658062
2009-03,665.1170182517174
2009-04,760.1491111539784
2009-05,820.5340606338261
2009-06,853.8853022147537
2009-07,895.5347633815369
2009-08,966.7611526996787
2009-09,992.5185159255471
2009-10,960.8229431695112
2009-11,942.639764825465
2009-12,959.4058402544235
2010-01,992.9047790168881
2010-02,1032.1250490854513
2010-03,1067.0958646617848
2010-04,1089.884225305774
2010-05,998.1434461478805
2010-06,992.140343922353
2010-07,1018.6789964801064
2010-08,1013.7439785714897
2010-09,1039.7542921368276
2010-10,1058.1004526044271
2010-11,1086.562317968792
2010-12,1131.5831710497696
2011-01,1138.381689047185
2011-02,975.1046483071519
2011-03,1020.8196607143627
2011-04,1077.5975837336787
2011-05,1004.5427562676302
2011-06,1010.1370237631589
2011-07,990.5820989464985
2011-08,967.9306160673258
