Date,KUWAIT SMALL CAP
2002-05,510.71674156066564
2002-06,508.18302943733437
2002-07,499.49759228952274
2002-08,499.2785135636832
2002-09,451.88598138025867
2002-10,467.34743266600304
2002-11,511.91013305291466
2002-12,506.17279759661824
2003-01,521.331314773283
2003-02,524.1076993996054
2003-03,562.7816710834509
2003-04,638.4733738452215
2003-05,644.5057723901689
2003-06,647.0983633844407
2003-07,689.318891814579
2003-08,761.415050265166
2003-09,805.4288921630379
2003-10,795.8370287190472
2003-11,786.6640352396289
2003-12,791.0260827881799
2004-01,864.5928662181732
2004-02,890.5765355597936
2004-03,827.2684751511557
2004-04,809.9082804089919
2004-05,798.337461522035
2004-06,828.2489430198162
2004-07,853.5064415921821
2004-08,891.5199835782211
2004-09,892.8943695184593
2004-10,873.2994748234212
2004-11,877.7259760114238
2004-12,862.9298130669524
2005-01,905.6356923287711
2005-02,888.5402400238363
2005-03,937.1960436201277
2005-04,991.7937056172274
2005-05,992.4434178334493
2005-06,1075.2808606609706
2005-07,1063.927768006079
2005-08,1114.811454361325
2005-09,1267.9046702778585
2005-10,1450.2767975612371
2005-11,1481.5203349226958
2005-12,1432.317843001975
2006-01,1421.271720023561
2006-02,1363.2929982853786
2006-03,1136.8320068805979
2006-04,1116.683132386156
2006-05,1054.6985023150262
2006-06,1072.446577163608
2006-07,992.2773099054999
2006-08,1026.591234134334
2006-09,1100.0171619640516
2006-10,1111.368721015153
2006-11,963.7042999070894
2006-12,979.2897500407983
2007-01,950.4304590976836
2007-02,941.2461716873462
2007-03,965.9475444819427
2007-04,975.6222114092279
2007-05,1051.5313792526367
2007-06,1104.8190735708117
2007-07,1186.740638286318
2007-08,1195.0890873101243
2007-09,1140.3585218794271
2007-10,1098.061891388501
2007-11,1000.0000000000001
2007-12,1028.8022509317968
2008-01,1113.3831258035432
2008-02,1115.6082588087331
2008-03,1077.6825820890388
2008-04,1116.3036529176097
2008-05,1158.3572456437475
2008-06,1165.2245546112879
2008-07,1117.1875030335793
2008-08,1105.453797514714
2008-09,967.5610830251393
2008-10,764.1041714422473
2008-11,674.1511510941297
2008-12,516.6892672320231
2009-01,454.8969000338502
