Date,OMAN
2005-05,1026.9563859773234
2005-06,1155.2181021678025
2005-07,1101.6612429503148
2005-08,1090.5778683632557
2005-09,1079.1047641030978
2005-10,1070.4451430882068
2005-11,1000.0
2005-12,970.2419426188826
2006-01,972.9782291840282
2006-02,932.5872377466379
2006-03,902.5044727864436
2006-04,795.5128734274832
2006-05,761.5114703384232
2006-06,760.3105442295087
2006-07,738.816748432793
2006-08,767.8003811137394
2006-09,819.6912194332544
2006-10,851.7417778956806
2006-11,778.373265083146
2006-12,774.8364506395739
2007-01,793.3989760441176
2007-02,772.9988215802296
2007-03,745.5890096846659
2007-04,766.9429161089104
2007-05,844.3344265603893
2007-06,850.041815325958
2007-07,846.7700461661531
2007-08,871.1030240423704
2007-09,881.4895805668466
2007-10,971.1131702496667
2007-11,1026.5384452286955
2007-12,1114.7768784795066
2008-01,1127.2942683980366
2008-02,1211.492618366952
2008-03,1150.4874189266038
2008-04,1285.7639275724448
2008-05,1339.5329129170696
2008-06,1282.0331895555746
2008-07,1208.3159292932608
2008-08,1145.2044041421823
2008-09,1028.38578732529
2008-10,799.0114802860995
2008-11,799.109401440641
2008-12,642.590651707928
2009-01,630.873117802186
2009-02,615.6098988678021
2009-03,590.6000667830549
2009-04,676.3095574635747
2009-05,683.4353956580942
2009-06,717.7044002752532
2009-07,744.6945577772265
2009-08,794.232299205802
2009-09,800.5265816175848
2009-10,767.7401530717376
2009-11,740.2172383128398
2009-12,788.3544278570847
2010-01,842.1778403697689
2010-02,891.6419921003096
2010-03,929.7558714381872
2010-04,966.3588218134413
2010-05,959.0165159007729
2010-06,954.9219189054276
2010-07,921.8388109458256
2010-08,940.3622987032202
2010-09,897.903840253965
2010-10,897.5088341592844
2010-11,984.0619510422947
2010-12,994.4317986725249
2011-01,978.9169163400283
2011-02,832.3194505659692
2011-03,848.0694376711984
2011-04,856.3181931402132
2011-05,823.8075142610758
2011-06,821.3960369455986
2011-07,812.697818756419
2011-08,792.5696623229433
2011-09,817.4202627299362
2011-10,803.7743674444253
2011-11,805.0163032279236
2011-12,899.3103610048039
2012-01,863.836976178289
